Desc	Family ID	human	chimp	orang	baboon	gibbon	macaque	marmoset	rat	mouse	cat	horse	cow
(null)	249	6	6	6	6	8	6	6	6	6	7	6	7
(null)	250	6	5	8	7	6	6	6	6	6	7	6	6
(null)	251	11	13	6	4	4	10	8	5	4	4	2	4
(null)	252	7	6	6	6	6	6	8	6	6	6	6	6
(null)	253	8	6	7	7	5	4	6	6	7	7	6	6
(null)	254	6	6	6	6	6	5	6	7	7	6	6	7
(null)	255	6	6	6	6	6	6	6	6	6	8	6	6
(null)	256	7	5	6	6	6	6	6	7	7	7	5	6
(null)	257	7	3	4	5	6	14	9	5	8	4	4	5
(null)	258	5	6	7	6	7	6	6	6	7	6	6	6
(null)	259	9	8	5	4	4	6	3	5	5	6	7	11
(null)	260	6	6	5	6	6	6	6	7	6	6	7	6
(null)	261	7	5	6	6	6	6	7	6	6	4	7	7
(null)	262	7	6	6	6	6	7	5	6	6	6	6	6
(null)	263	6	6	6	6	6	6	6	6	6	7	6	6
(null)	264	24	11	32	0	0	1	5	0	0	0	0	0
(null)	265	5	6	6	6	6	5	7	6	6	7	7	6
(null)	266	6	6	5	6	4	7	6	7	7	6	5	8
(null)	267	7	6	6	6	6	6	5	6	6	6	6	6
(null)	268	5	4	7	6	7	8	6	6	6	6	6	5
(null)	269	6	6	6	6	5	6	7	7	5	6	6	6
(null)	270	4	6	6	6	8	5	6	6	6	6	7	6
(null)	271	5	4	5	7	5	6	12	5	5	5	5	8
(null)	272	6	5	5	6	5	6	7	7	6	6	5	7
(null)	273	5	5	6	6	5	4	5	7	7	8	6	7
(null)	274	6	5	7	8	6	5	6	5	4	5	7	7
(null)	275	7	6	5	7	6	6	5	7	7	3	5	7
(null)	276	6	6	5	7	6	5	6	6	6	6	6	6
(null)	277	5	5	8	6	6	5	5	7	6	6	6	6
(null)	278	5	5	4	6	5	7	5	7	7	6	7	7
(null)	279	6	5	6	6	5	7	6	6	6	5	6	6
(null)	280	6	6	7	6	4	6	6	6	6	5	6	6
(null)	281	3	6	6	6	5	5	5	5	4	13	5	7
(null)	282	5	5	6	6	6	6	6	6	6	6	6	6
(null)	283	6	7	6	6	6	3	6	6	6	6	6	6
(null)	284	0	0	0	0	0	0	0	38	32	0	0	0
(null)	285	7	6	7	7	5	6	6	4	2	7	8	5
(null)	286	4	4	13	4	4	8	10	6	4	4	4	5
(null)	287	14	2	4	6	4	8	2	5	11	3	8	2
(null)	288	6	6	6	8	4	8	7	0	1	2	6	15
(null)	289	6	5	6	8	5	11	5	4	6	5	2	6
(null)	290	4	4	7	4	4	16	4	5	4	7	5	5
(null)	291	8	7	4	4	4	6	3	6	5	12	4	6
(null)	292	6	6	6	5	6	5	6	6	5	6	6	6
